Vel_d,Phi_d,Trial_num,LR_4Leg,Vel_flip,Phi_flip,Tau_flip_mean,OFy_flip_mean,D_ceil_flip_mean,My_mean,Vz_flip_mean,Vx_flip_mean,Mu,Sigma
1.8,56.25,1,0.0,1.709,52.681,0.19,-4.018,0.258,-3.257,1.359,1.036,[1.973 3.266],[0.046 0.046]
1.8,56.25,2,0.33,1.781,54.301,0.213,-3.318,0.309,-4.994,1.446,1.039,[2.18  4.945],[0.001 0.171]
1.8,60.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.932 4.56 ],[0.016 0.064]
1.8,60.0,1,0.72,1.784,58.502,0.226,-2.648,0.345,-4.583,1.521,0.932,[2.313 4.594],[0.026 0.038]
1.8,60.0,2,0.11,1.758,58.326,0.207,-2.962,0.31,-8.116,1.496,0.923,[2.129 7.914],[0.013 0.845]
1.8,63.75,0,0.72,1.794,62.521,0.227,-2.227,0.363,-4.586,1.592,0.828,[2.312 4.561],[0.002 0.253]
1.8,63.75,1,0.06,1.732,61.896,0.214,-2.487,0.327,-5.643,1.528,0.816,[2.172 5.661],[0.    0.079]
1.8,63.75,2,0.06,1.734,61.558,0.217,-2.47,0.331,-4.553,1.525,0.826,[2.162 4.626],[0.045 0.273]
1.8,67.5,0,0.0,1.729,65.748,0.195,-2.299,0.308,-8.867,1.576,0.71,[2.011 8.844],[0.024 0.027]
1.8,67.5,1,0.5,1.778,66.361,0.223,-1.925,0.364,-5.728,1.629,0.713,[2.283 5.733],[0.004 0.024]
1.8,67.5,2,0.17,1.757,66.266,0.213,-2.045,0.343,-6.534,1.608,0.707,[2.169 6.539],[0.007 0.066]
1.8,71.25,0,0.0,1.675,68.967,0.183,-2.103,0.286,-5.662,1.563,0.601,[1.885 5.586],[0.004 0.091]
1.8,71.25,1,0.39,1.756,69.811,0.225,-1.589,0.372,-3.55,1.648,0.606,[2.292 3.819],[0.017 0.803]
1.8,71.25,2,0.28,1.753,70.025,0.219,-1.631,0.361,-8.438,1.648,0.599,[2.269 8.423],[0.019 0.035]
1.8,75.0,0,0.0,1.639,73.113,0.122,-2.494,0.192,-5.592,1.568,0.476,[1.271 5.509],[0.003 0.302]
1.8,75.0,1,0.33,1.734,73.823,0.223,-1.279,0.372,-4.236,1.665,0.483,[2.265 4.247],[0.005 0.029]
1.8,75.0,2,0.0,1.768,74.179,0.205,-1.363,0.349,-8.596,1.701,0.482,[2.094 8.605],[0.05  0.045]
1.8,78.75,0,0.06,1.709,77.973,0.224,-0.943,0.374,-4.734,1.671,0.356,[2.292 4.653],[0.008 0.177]
1.8,78.75,1,0.0,1.683,77.475,0.209,-1.056,0.343,-4.031,1.643,0.365,[2.142 4.027],[0.041 0.023]
1.8,78.75,2,0.06,1.753,78.081,0.219,-0.95,0.376,-7.216,1.715,0.362,[2.24  7.226],[0.021 0.04 ]
1.8,82.5,0,0.0,1.782,82.129,0.225,-0.602,0.396,-6.424,1.765,0.244,[2.304 6.433],[0.006 0.101]
1.8,82.5,1,0.33,1.796,82.222,0.228,-0.584,0.405,-6.276,1.779,0.243,[2.323 6.254],[0.006 0.238]
1.8,82.5,2,0.0,1.773,82.089,0.214,-0.639,0.375,-8.925,1.756,0.244,[2.18  8.956],[0.026 0.129]
1.8,86.25,0,0.0,1.659,85.784,0.181,-0.41,0.3,-5.102,1.655,0.122,[1.924 5.083],[0.029 0.017]
1.8,86.25,1,0.33,1.783,86.077,0.234,-0.284,0.417,-6.47,1.779,0.122,[2.389 6.548],[0.009 0.216]
1.8,86.25,2,0.11,1.77,86.145,0.212,-0.312,0.374,-8.914,1.766,0.119,[2.169 8.854],[0.099 0.087]
1.8,90.0,0,0.0,1.637,90.0,0.139,-0.0,0.227,-8.511,1.637,0.0,[1.446 8.505],[0.022 0.112]
