obs,actions,next_obs,dones
0.048796933;0.084112376;-0.17740595;-1.0,0.18294565;0.009868089,0.046796937;0.086636744;-0.19472647;-1.0,False
0.046796937;0.086636744;-0.19472647;-1.0,0.6844994;-1.0,0.046796937;0.086636744;-0.19472647;-1.0,True
0.1019556;0.047401875;0.2829618;-1.0,-0.11558769;-0.88335145,0.099955596;0.04819323;0.26564127;-1.0,False
0.099955596;0.04819323;0.26564127;-1.0,0.065544635;-0.38850033,0.0979556;0.04901146;0.24832077;-1.0,False
0.0979556;0.04901146;0.24832077;-1.0,0.047098245;-0.0918605,0.0959556;0.04985795;0.23100027;-1.0,False
0.0959556;0.04985795;0.23100027;-1.0,0.19199057;-0.1894515,0.0939556;0.050734196;0.21367976;-1.0,False
0.0939556;0.050734196;0.21367976;-1.0,0.091064475;-0.311869,0.0919556;0.051641792;0.19635925;-1.0,False
0.0919556;0.051641792;0.19635925;-1.0,-0.0022539264;0.494747,0.089955606;0.052582454;0.17903875;-1.0,False
0.089955606;0.052582454;0.17903875;-1.0,-0.06910678;-0.26786166,0.0879556;0.053558018;0.16171823;-1.0,False
0.0879556;0.053558018;0.16171823;-1.0,0.005285778;0.27939013,0.085955605;0.054570466;0.14439774;-1.0,False
0.085955605;0.054570466;0.14439774;-1.0,0.033912215;0.46877524,0.08395561;0.05562193;0.12707722;-1.0,False
0.08395561;0.05562193;0.12707722;-1.0,-0.029669708;0.96126056,0.081955604;0.05671471;0.109756716;-1.0,False
0.081955604;0.05671471;0.109756716;-1.0,0.106753916;-0.47381166,0.07995561;0.05785129;0.0924362;-1.0,False
0.07995561;0.05785129;0.0924362;-1.0,-0.026118193;0.6207189,0.07795561;0.05903435;0.075115696;-1.0,False
0.07795561;0.05903435;0.075115696;-1.0,-0.059913915;0.46565703,0.075955614;0.060266815;0.05779519;-1.0,False
0.075955614;0.060266815;0.05779519;-1.0,-0.036365006;-0.9707886,0.07395561;0.061551835;0.04047468;-1.0,False
0.07395561;0.061551835;0.04047468;-1.0,-0.013630192;0.746178,0.071955614;0.06289285;0.023154173;-1.0,False
0.071955614;0.06289285;0.023154173;-1.0,-0.2385058;0.5922075,0.06995562;0.06429359;0.005833664;-1.0,False
0.06995562;0.06429359;0.005833664;-1.0,0.0604603;0.93474793,0.06795561;0.065758154;-0.011486844;-1.0,False
0.06795561;0.065758154;-0.011486844;-1.0,0.08293534;-0.07064717,0.06595562;0.067291;-0.028807351;-1.0,False
0.06595562;0.067291;-0.028807351;-1.0,-0.020153647;-0.5112588,0.06395562;0.06889701;-0.04612786;-1.0,False
0.06395562;0.06889701;-0.04612786;-1.0,-0.15241514;-0.3709127,0.061955616;0.07058155;-0.06344837;-1.0,False
0.061955616;0.07058155;-0.06344837;-1.0,-0.08441704;-0.53490394,0.05995562;0.07235053;-0.080768876;-1.0,False
0.05995562;0.07235053;-0.080768876;-1.0,-0.18829352;0.60872906,0.05795562;0.074210465;-0.09808938;-1.0,False
0.05795562;0.074210465;-0.09808938;-1.0,-0.11982259;0.302515,0.05595562;0.07616855;-0.115409896;-1.0,False
0.05595562;0.07616855;-0.115409896;-1.0,0.0979146;0.98913956,0.053955622;0.078232765;-0.1327304;-1.0,False
0.053955622;0.078232765;-0.1327304;-1.0,-0.20219597;0.66067195,0.05195562;0.08041198;-0.15005091;-1.0,False
0.05195562;0.08041198;-0.15005091;-1.0,-0.23175739;0.5574354,0.04995562;0.08271608;-0.16737142;-1.0,False
0.04995562;0.08271608;-0.16737142;-1.0,-0.07537204;-0.7254338,0.047955625;0.08515612;-0.18469192;-1.0,False
0.047955625;0.08515612;-0.18469192;-1.0,0.72029424;-0.9,0.047955625;0.08515612;-0.18469192;-1.0,True
0.104633644;0.046382055;0.30615434;-1.0,-0.12310782;-0.41535506,0.10263365;0.047139455;0.28883386;-1.0,False
