t,x,y,z,qx,qy,qz,qw,vx,vy,vz,wx,wy,wz
5.174,0.009883645995991586,0.06140556882297304,1.07896684826338,0.9988147286598457,-0.029659835085018744,-0.038444456635289705,-0.0033846342351738987,0.06398107902056412,0.4601395535548865,2.745831705475736,1.3003105665141408,-5.96706086560002,0.4136555966478412
5.178,0.01013368689195369,0.06325051755992864,1.0899310780445193,0.998288342008061,-0.027251030182396916,-0.051660911334444656,-0.002986269393279928,0.06138149005176555,0.4620282459945726,2.7381538470577182,1.2303532926862626,-6.8180304898074615,0.4578720027733765
5.184,0.010481518228586027,0.06603603229603355,1.1063184650529954,0.9971881685537463,-0.021068762391467263,-0.0718810835428107,-0.0022301516604571656,0.055460301590175114,0.4657474759672257,2.726266591982976,2.6526321760002918,-6.753360088980151,0.6299362948663156
5.19,0.010792802390155367,0.06883441439633749,1.122634559617015,0.9954970681216408,-0.01289693181955144,-0.09390188369950486,-0.0013010567026743296,0.04928704209610397,0.46625643457486043,2.7144277427863646,2.182398653440035,-8.055258240144772,0.5925965212121019
5.195,0.011021724582143897,0.07116325448805555,1.136176974772348,0.9930136928654644,-0.009748024457301262,-0.11759313306321767,-0.0007980333637330512,0.043064771442242494,0.4656189655225709,2.7044426917359026,0.6654674974746653,-10.569636208573597,0.33548549866929217
5.199,0.011173125758163337,0.07302840568769853,1.1469727892625943,0.9901691386493219,-0.008424785056163795,-0.1396203727690095,-0.0005013691851031257,0.03417458869996947,0.4669514581025946,2.6955138352622514,0.8034121571558616,-11.088892995446487,0.38072407142477216
5.204,0.011301330167317786,0.07537258271293289,1.1604140836239116,0.9862196932194354,-0.0037472027665284282,-0.16539828123989708,0.0002893794693431365,0.01986458980586642,0.4700430416300138,2.683369625626685,2.4986075453743846,-10.090118088405472,0.8947377346078036
5.208,0.011352647621480234,0.07725511075314312,1.1711230540716795,0.9826275622507663,0.0023340812089746336,-0.18556914992322893,0.0013101781545419098,0.008693098816950188,0.47059731937520743,2.673577298392974,2.9083233543995948,-10.494693869701662,1.0469414831111084
5.213,0.011356901293933097,0.07960072765850745,1.1844549113333611,0.9766972018064283,0.007353624631759732,-0.21448578136521487,0.0020856127209217938,-0.004284359876726948,0.46789100667477573,2.6616057936325785,1.1421597416628433,-12.99693625980344,0.28362187221302193
5.216,0.011327352012461291,0.08100111961621805,1.1924248761915557,0.9718422539900268,0.008004545068804745,-0.2354877726236333,0.0020173156881992255,-0.012845554078541222,0.46635618161864045,2.6540777379813525,0.240107952997967,-14.981948879370126,-0.18471951260213587
5.22,0.011238644330562557,0.08286583448236774,1.2030116341753552,0.9641734674615008,0.008479937796423103,-0.2651308023556589,0.0018091269938140424,-0.028375116108784553,0.4663973399955507,2.6419341164060377,0.6054414208449183,-15.044276552493633,0.012190639923004067
5.228,0.010849138056602614,0.08660758961019535,1.2240245656356734,0.9480330915501378,0.017817750536752518,-0.3176491943057456,0.0038437544938177506,-0.06445511603579276,0.46783512947197153,2.61462465698966,2.888083066529021,-13.58239875773769,1.530206047663682
5.232,0.010547241504634798,0.08847163475179973,1.234449086724021,0.938240282150447,0.022581964079863587,-0.3452128875529703,0.004825983411225573,-0.08205560574277225,0.4646321638365153,2.601057016203243,1.6986843466146098,-15.498183394349164,0.49853034471214847
5.237,0.010067682458985183,0.09078117579590372,1.2474009434044238,0.9217984024854997,0.023327635040478766,-0.38694716632824955,0.00392646012800499,-0.10584014366457559,0.4604843764643113,2.582645556665597,0.15636467044238833,-19.385863441733385,-1.150755149176042
5.242,0.009448220315038995,0.09308328007768563,1.2602408771471878,0.902259153105678,0.023520663812276976,-0.43054339775541867,0.002753481446083091,-0.13688014677468882,0.46100952327924705,2.5571492636170308,1.0276935013004387,-18.135742777468618,-0.09640769342189143
5.247,0.008665252047620326,0.09539383655429465,1.2729433818941622,0.8831886459376842,0.029275487064526026,-0.4680827027197091,0.004398290407307257,-0.16957972924089426,0.4624165901042027,2.5294288365702453,2.495896570691433,-16.44771462467408,1.9875438573162274
5.252,0.007723263205949918,0.09769534982173293,1.2855094989511806,0.8619112171925225,0.035892636496010925,-0.505745787965222,0.006478447229577487,-0.20075858826928808,0.45806259390697396,2.5026125273282354,1.8479805930986306,-18.37024647358776,0.7306609907387203
5.256,0.00685830925055963,0.09951386363351684,1.2954669659659446,0.8401673710776028,0.03682632790422891,-0.5410488936406562,0.005357689787794185,-0.22570251978678404,0.4526954488224639,2.4811578369032894,0.8888123810693764,-22.196613529152817,-1.6952905744775375
