Control protocol: Standard PWM at 50Hz
Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (rad/s),Motor Optical Speed (rad/s),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),Left Load Cell (mV),Right Load Cell (mV),Thrust Load Cell (mV),Vibration (g),Burst Current Cutoff (A),Pin State 1,Pin State 2,Pin State 3,Pin State 4,Debug 0,Debug 1,Debug 2,Debug 3,App message,
3.961955000000016,1000,,,,0,0.005859375,-1.021484375,-0.00043908913210794387,,24.920001983642578,0.009765625,0,0,0.24335939437150955,0,0,0,0,0.10908115655183792,-0.41126273572444916,,0.0625,0.029492886304971783,1,1,0,0,0,0,0,0,,
3.977930000000022,1000,,,,0,0.005859375,-1.009765625,-0.0007900883447582487,-0.7307991568959248,24.924001693725586,0.021484375,0,0,0.5354765988886356,0,0,0,0,0.11097406968474388,-0.4108366556465626,0.40612882003188133,0.0625,0.029449478577314687,1,1,0,0,0,0,0,0,,
3.985154999999999,1000,,,,0,0.0078125,-1.0234375,,,24.924001693725586,-0.01953125,0,0,0.48679690808057785,,0,,,,,,0.0625,0.029341729184865162,1,1,0,0,0,0,0,0,,
3.9932850000000326,1000,,,,0,0.00390625,-0.98828125,-0.0008309605987073766,-1.1277188267755005,24.922000885009766,0.0390625,0,0,0.973515659570694,0,0,0,0,0.11119991540908813,-0.41079241782426834,0.40573300793766975,0.0625,0.029366342690274414,1,1,0,0,0,0,0,0,,
4.001030000000028,1000,,,,0,0.005859375,-0.98828125,,-1.1277188267755005,24.924001693725586,0.009765625,0,0,0.24339845404028893,,0,,0,,,0.40573300793766975,0.0625,0.02931766469301573,1,1,0,0,0,0,0,0,,
4.0114850000000155,1000,,,,0,0.0078125,-0.98828125,-0.0008999706839865618,,24.918001174926758,0.029296875,0,0,0.7300195656716824,0,0,0,0,0.1116190105676651,-0.4107551649212837,,0.0625,0.029317604399025043,1,1,0,0,0,0,0,0,,
4.036370000000025,1000,,,,0,0.005859375,-1.00390625,-0.0010547334071704356,-0.16927456509570143,24.923202514648438,0.0390625,0,0,0.9735625982284546,0,0,0,0,0.1126783899962902,-0.4107900895178318,0.4066887777298689,0.0625,0.029393445591117572,1,1,0,0,0,0,0,0,,
4.044695000000007,1000,,,,0,0.00390625,-0.98828125,-0.0008813553816219264,-0.05136607492559215,24.921335220336914,0.0358072929084301,0,0,0.8923655499037793,0,0,0,0,0.1128041185438633,-0.4120520316064358,0.4068063572049141,0.0625,0.029412107219012145,1,1,0,0,0,0,0,0,,
4.059505000000005,1000,,,,0,0.009765625,-0.98828125,-0.0008813553816219264,,24.920001983642578,0.029296875,0,0,0.7300781831145287,0,0,0,0,0.1128041185438633,-0.4120520316064358,,0.0625,0.029411792156648388,1,1,0,0,0,0,0,0,,
4.077845000000001,1000,,,,0,0.005859375,-1.00390625,-0.0006210911790092676,-0.2743415365344127,24.92066764831543,0.009765625,0,0,0.24336589500308037,0,0,0,0,0.11140829883515835,-0.41237566620111465,0.40658400394022465,0.0625,0.02925950515122812,1,1,0,0,0,0,0,0,,
4.086255000000005,1000,,,,0.05859375,0.0078125,-0.9921875,-0.0003423475444677322,-2.3371564091144434,24.924001693725586,0.009765625,0,0,0.24339845404028893,0,0,0,0,0.10763062164187431,-0.4104594700038433,0.4045269452035427,0.0625,0.02920987072846179,1,1,0,0,0,0,0,0,,
4.095890000000014,1000,,,,0,0.005859375,-1.0234375,,-2.6196698212052,24.924001693725586,0.01953125,0,0,0.48679690808057785,,0,,0,,,0.4042452201247215,0.0625,0.029185090989961474,1,1,0,0,0,0,0,0,,
